file,label
fake/file1848.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file92.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2059.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file459.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2167.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file806.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file299.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1167.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1311.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file946.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1060.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1845.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file197.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1830.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1787.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1788.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1714.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2014.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1576.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2114.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1990.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file772.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1487.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file295.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2125.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1642.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1534.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1636.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file867.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file873.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1090.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2163.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2166.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file118.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1897.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1345.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1404.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1881.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2141.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file695.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file35.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1110.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file897.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1978.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2202.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1924.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1880.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1371.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1219.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1223.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1406.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file590.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file474.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2301.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file376.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1324.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1504.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file58.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2280.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1706.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1036.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1192.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2275.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1934.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2134.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1669.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file728.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1850.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file533.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2318.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1532.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file597.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1943.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1738.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1271.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1701.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1485.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1785.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1763.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1184.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file338.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file391.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1252.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1580.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2203.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file485.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file36.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1478.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2368.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1596.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1661.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file697.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1288.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2010.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2343.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2190.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1127.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file29.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1612.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file115.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file2029.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file255.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file713.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1601.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file1304.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file783.wav_16k.wav_norm.wav_mono.wav_silence,spoof
fake/file550.wav_16k.wav_norm.wav_mono.wav_silence,spoof
